5,10,Male
6,4,Male
5,10,Male
5,9,Male
5,7,Female
6,0,Male
5,11,Male
5,9,Female
5,5,Female
5,2,Female
5,7,Male
5,11,Male
5,10,Male
6,3,Male
6,2,Male
4,10,Female
5,9,Female
5,4,Female
6,2,Male
6,4,Male
5,9,Female
6,1,Male
5,6,Male
6,2,Male
5,2,Female
5,2,Female
5,5,Female
5,11,Male
5,4,Female
6,2,Male
5,4,Female
5,9,Female
6,0,Male
5,3,Female
5,3,Female
4,7,Female
5,2,Female
5,5,Female
6,8,Male
5,4,Female
5,6,Male
5,1,Female
5,11,Female
5,6,Female
5,8,Female
5,6,Female
5,9,Male
5,6,Female
4,8,Female
4,11,Female
5,5,Female
4,9,Female
5,9,Female
5,11,Female
5,5,Female
5,4,Male
5,11,Male
4,10,Female
5,5,Female
5,11,Male
5,8,Male
5,6,Female
5,7,Female
5,3,Female
5,7,Female
5,7,Male
5,4,Female
6,0,Male
5,8,Male
5,6,Female
5,4,Female
5,6,Female
5,7,Female
5,7,Male
6,2,Male
4,9,Female
5,10,Male
4,9,Female
5,6,Female
5,1,Female
5,8,Female
6,1,Male
6,5,Male
5,3,Female
5,6,Female
6,4,Male
5,9,Female
5,7,Female
6,5,Male
5,9,Female
5,2,Female
5,9,Male
5,5,Male
5,6,Female
5,6,Female
5,5,Female
5,10,Female
5,11,Male
5,8,Female
5,11,Female
5,10,Male
6,0,Male
5,4,Female
5,4,Female
5,5,Female
4,9,Female
5,1,Female
6,3,Male
5,3,Female
5,1,Female
6,0,Male
5,11,Male
5,7,Male
5,8,Female
5,4,Female
5,0,Female
6,2,Male
5,2,Female
5,1,Female
5,7,Male
5,6,Female
5,8,Female
5,6,Male
5,2,Female
6,1,Female
5,2,Female
5,8,Male
5,7,Female
5,3,Female
5,5,Female
5,9,Male
5,3,Female
6,0,Male
5,9,Female
6,6,Male
5,5,Female
6,3,Male
5,5,Female
6,1,Male
5,7,Female
5,9,Female
5,8,Male
5,7,Female
5,6,Male
5,11,Male
5,1,Female
5,9,Male
5,11,Male
5,10,Male
5,8,Male
6,2,Male
5,10,Male
5,9,Male
5,5,Female
5,8,Male
5,8,Female
5,10,Male
4,11,Female
5,3,Female
5,10,Male
5,4,Female
6,4,Male
6,3,Male
5,5,Male
5,0,Female
6,2,Male
6,3,Male
6,8,Male
5,11,Male
4,9,Female
5,11,Male
5,6,Male
5,2,Female
5,5,Female
5,10,Male
5,3,Female
5,11,Male
5,10,Male
5,8,Female
5,3,Female
5,10,Male
6,2,Male
4,11,Female
5,7,Female
5,7,Male
5,11,Male
6,0,Male
5,9,Male
5,4,Female
5,7,Male
4,11,Female
5,10,Male
4,9,Female
5,10,Female
5,6,Female
5,11,Female
5,6,Female
5,7,Female
5,6,Female
5,6,Male
5,8,Male
5,10,Female
5,4,Female
5,3,Female
5,5,Female
5,9,Female
5,7,Female
5,2,Female
5,1,Female
5,9,Male
5,7,Female
4,9,Female
6,0,Male
5,6,Female
6,1,Male
4,8,Female
5,3,Female
5,10,Female
5,3,Female
5,7,Female
6,4,Male
5,7,Female
5,6,Female
5,3,Female
5,3,Female
5,1,Female
5,11,Male
5,3,Female
6,4,Male
5,4,Female
5,1,Female
5,2,Female
5,9,Female
6,4,Male
5,7,Female
6,0,Male
5,6,Male
5,2,Female
5,9,Male
5,10,Male
5,4,Female
6,0,Female
5,7,Female
5,10,Male
5,2,Female
5,9,Female
6,2,Male
6,0,Male
5,5,Female
6,1,Female
5,9,Male
5,6,Female
6,1,Male
6,4,Male
5,9,Male
5,11,Male
5,10,Male
5,8,Female
5,6,Male
5,9,Male
6,2,Male
5,10,Male
5,5,Female
5,7,Female
5,1,Female
5,9,Male
5,0,Female
5,6,Male
5,11,Male
5,1,Female
5,4,Female
5,4,Female
5,9,Female
5,2,Female
5,7,Female
5,3,Female
5,11,Male
5,5,Female
5,6,Female
6,0,Male
5,3,Female
5,8,Male
5,8,Female
5,8,Male
5,7,Female
6,0,Female
6,3,Male
5,11,Male
6,3,Male
6,3,Male
5,4,Female
5,7,Male
5,11,Male
6,6,Male
5,5,Male
5,10,Male
6,0,Male
5,7,Female
4,8,Female
5,5,Female
5,10,Female
5,3,Female
5,8,Female
5,2,Female
5,11,Male
6,1,Male
5,8,Male
5,1,Female
5,7,Female
5,10,Male
